buyer_id,total_transactions,total_amount_spent,on_time_payments,late_payments,bnpl_used,bnpl_default,target
141,5,1813.1105541578386,9,3,0,1,0
142,10,3022.097837734202,28,9,0,1,1
143,7,1443.6431567083202,14,4,0,0,1
144,26,230.38099378065223,28,8,1,0,1
145,9,3702.6197386978206,27,3,0,1,1
146,28,3165.6845734131202,18,4,1,0,1
147,7,2945.70439537273,10,4,1,0,1
148,9,3734.2522320599332,9,3,1,0,1
149,8,3408.6311040539836,6,3,0,1,0
150,12,1108.8217420737737,1,4,0,0,0
151,2,1827.1571300224207,5,5,1,0,0
152,1,717.9396942252625,10,6,1,1,0
153,16,736.299365747617,25,5,0,1,0
154,23,3413.3591571470424,13,0,1,1,1
155,23,4307.140524214241,22,1,0,0,1
156,24,4817.389660919581,23,6,1,0,0
157,5,3178.9008759922776,4,2,0,1,1
158,3,1002.0964844686891,1,9,0,1,1
159,12,617.6866926997604,21,1,1,1,1
160,8,4082.969760530113,2,5,1,1,0
161,22,2935.9067341639966,24,3,0,1,0
162,27,3129.596602967227,4,4,1,0,0
163,3,3929.1642348980754,17,5,1,0,1
164,1,3546.058415889013,10,2,1,1,0
165,3,4188.845438994874,23,0,0,0,1
166,5,375.4481367534045,12,2,1,1,1
167,15,3762.8511200578737,27,2,1,0,1
168,14,4269.178510878268,2,5,1,0,1
169,3,1502.0617080457403,3,3,1,1,1
170,1,3238.1916425669388,14,6,0,1,0
171,5,1639.3941128011634,25,1,1,1,0
172,26,4794.058225764024,15,3,0,1,0
173,23,263.7755049339684,13,7,0,0,1
174,14,2940.9849347814798,9,5,1,0,0
175,7,915.8673805426239,2,9,1,1,0
176,27,3589.8790053680773,19,2,0,0,1
177,9,961.8623887514442,16,9,1,1,0
178,15,1253.377983301952,11,1,1,1,1
179,15,2522.4169741242144,12,2,0,1,1
180,26,4582.691254984703,25,0,1,1,1
181,10,1137.400423525057,1,0,1,1,1
182,28,806.7761034787072,2,1,1,0,0
183,13,3818.98647608475,16,2,0,0,0
184,19,2553.0357084362618,27,8,1,0,1
185,7,4567.7470506706795,2,7,0,1,0
186,17,818.4113300832272,26,8,0,1,0
187,20,3265.0466758128928,19,6,0,0,1
188,29,1241.1078161438936,10,6,1,0,1
189,4,868.1261003930326,19,4,1,1,1
190,5,3448.8041342706256,10,6,0,0,0
191,23,3009.054637552793,16,3,0,1,0
192,7,3798.654545975423,13,4,1,1,1
193,13,1616.3666245862935,16,0,1,1,1
194,15,2295.061116272731,18,3,0,0,1
195,11,2086.8112140190506,24,2,1,1,0
196,29,4922.038373435919,8,1,0,1,1
197,4,1532.0198880230007,24,1,0,0,0
198,13,1544.6044678991577,18,7,1,1,1
199,7,1837.2862232601763,13,0,1,1,0
200,27,2866.5109983225752,25,7,1,0,0
201,19,1336.3814468923517,27,8,0,0,1
202,22,4584.920707858442,7,5,1,1,0
203,28,1401.8592678446912,28,0,1,0,0
204,2,4489.497084644954,21,9,0,0,0
205,10,607.0278118682647,23,6,0,1,1
206,13,3317.157241758296,24,4,1,1,0
207,25,4544.229040347394,25,8,1,1,0
208,21,926.8722481513247,18,6,0,1,0
209,6,4844.80210448635,6,4,0,1,1
210,28,2319.1284660360075,9,1,1,1,1
211,28,4734.00403136102,29,3,1,0,1
212,12,3416.4182137872303,6,1,0,1,0
213,12,1577.7756623804025,18,8,1,0,1
214,20,1022.6823720938214,17,1,0,0,1
215,11,1588.301726502987,12,1,0,1,1
216,26,555.7853053871074,3,1,1,0,1
217,23,804.9530350823159,27,0,1,1,0
218,28,612.8361576977576,5,8,0,0,1
219,25,2172.423364333633,7,7,0,0,1
220,7,3998.3340436621734,10,1,0,0,1
221,1,792.7794156600669,10,1,1,0,1
222,1,738.5701225444458,19,4,0,0,0
223,25,3252.8018526349206,25,3,0,0,0
224,27,1066.1966116435246,26,1,0,1,1
225,25,578.2891867340588,28,7,1,0,0
226,20,917.5580332073304,4,7,0,1,0
227,13,4626.283839796203,10,3,1,1,1
228,9,4125.209138603335,18,3,1,0,0
229,3,1834.9163555399612,3,8,0,0,1
230,7,3313.521759904225,21,3,0,0,0
231,6,2732.6508009733866,3,9,0,1,1
232,8,3417.9088910645632,5,8,1,0,0
233,27,3445.088647067521,16,2,0,1,0
234,9,3180.7966737939655,20,1,1,0,1
235,5,1403.8967058328121,13,7,1,0,0
236,1,291.1314617378088,11,2,1,1,1
237,19,2332.2772317515332,26,1,1,0,0
238,10,4465.7720349844485,13,7,1,1,1
239,12,2890.536566741022,19,7,1,0,0
240,24,4178.716104339349,28,4,0,0,0
241,15,4958.959280510018,6,8,0,0,0
242,27,901.7194002775537,24,5,1,0,0
243,22,3489.7104317957132,13,4,1,0,0
244,24,3404.0385111301207,28,2,0,1,1
245,9,4901.781692055564,4,6,0,1,1
246,20,4929.443596368722,25,8,0,1,1
247,17,3464.725197448234,22,3,0,1,1
248,17,1293.7124807127518,5,6,1,1,0
249,26,4012.9236068399355,19,2,0,0,1
250,20,624.4427576340867,5,1,1,0,1
251,12,3925.426590440981,21,0,1,0,0
252,7,4559.961008309013,14,5,0,0,1
253,2,1975.8836343653327,28,4,0,0,0
254,3,3190.112945417094,28,1,1,1,1
255,17,2207.699387274449,4,2,1,1,0
256,5,2245.0487694418293,12,8,1,1,0
257,17,1620.8173566297883,6,2,1,1,0
258,24,3834.4351402065904,19,6,0,1,1
259,17,4687.265164415875,10,0,0,0,0
260,27,4709.67921024886,1,6,0,0,1
261,17,956.4282958871758,23,8,0,0,0
262,2,4386.243883317174,23,7,0,0,0
263,2,3713.4140629928984,28,6,1,1,0
264,28,1338.9032633824174,16,9,1,1,0
265,22,429.6946033154213,4,7,0,0,0
266,23,1413.186607733452,9,3,0,0,0
267,5,4569.820360229475,28,1,1,0,1
268,1,3202.5755069892843,18,8,1,0,0
269,1,3633.1678383995722,29,2,0,0,0
270,19,1360.0465204345696,17,3,0,0,1
271,2,3625.0019623166195,15,6,1,1,1
272,21,237.7953807618264,19,1,0,1,0
273,12,1939.0745942877677,7,7,0,1,0
274,26,3171.091407857423,25,9,1,1,0
275,6,815.8731711524691,18,7,1,0,0
276,23,4132.71751478998,6,4,1,0,1
277,4,1251.6533641784013,19,8,0,0,1
278,23,3296.1774528103865,21,7,1,0,1
279,11,2085.4659986191155,12,0,0,1,1
280,24,3020.6136178404713,25,8,1,0,1
281,27,626.5077078816498,3,4,0,0,0
282,17,182.8727196158759,1,8,0,1,1
283,6,4556.865694163475,5,8,1,0,0
284,24,1421.1870429591957,1,9,0,1,1
285,5,4116.41731362425,8,9,0,0,1
286,20,4996.816472313781,7,2,1,1,0
287,2,1136.0131641946646,15,7,0,1,0
288,6,1399.3366317984423,11,6,1,0,0
289,22,3348.0129594098617,18,6,0,0,0
290,11,4830.698309543044,14,9,1,1,0
291,16,4587.490306134645,27,1,1,0,0
292,16,2564.090048321366,9,1,0,1,1
293,1,3996.040384380951,5,1,1,0,1
294,9,765.1546801895151,23,1,1,1,1
295,28,4889.44710259966,4,3,0,0,1
296,27,4825.330846776334,12,6,1,1,1
297,6,902.2718936079377,29,1,1,1,1
298,16,1567.1733115352224,1,4,1,0,1
299,29,590.759487783158,24,6,1,0,1
300,3,1431.4162346010805,13,8,0,1,0
301,20,4098.183368134512,1,7,1,1,1
302,28,1953.7464751097714,3,8,1,1,1
303,27,533.145139019116,22,6,1,0,0
304,4,1776.9050714166324,8,2,0,1,0
305,19,4908.7783377822725,24,0,0,1,1
306,26,3185.4496167700945,18,9,1,0,0
307,3,2139.188637390173,25,6,1,1,0
308,19,916.0387161366231,16,5,0,0,0
309,20,4932.266306690104,20,1,1,1,0
310,7,4122.160145389331,20,0,1,0,1
311,20,1479.238782009505,16,9,1,0,0
312,9,443.3366090338283,2,3,1,0,1
313,1,377.46523115003436,17,3,0,0,0
314,8,689.8529325771158,10,5,0,0,0
315,7,2945.766059710666,7,4,0,0,0
316,18,4650.940763906912,27,8,0,1,0
317,8,2534.042797229324,10,7,0,0,0
318,1,4230.432864035366,19,8,1,1,0
319,11,2284.8444373130583,20,9,0,0,0
320,28,3572.0593742623437,27,6,1,0,0
321,25,3686.176412703854,9,8,0,1,0
322,25,952.4221589263594,22,2,1,0,1
323,18,1869.9586889814777,17,8,0,1,1
324,23,3222.7805670363173,9,1,0,1,1
325,10,446.4133801033943,9,8,1,1,0
326,3,1871.5469200384873,5,5,1,0,0
327,7,2720.517384777843,24,3,1,1,0
328,28,4981.500015918729,7,1,0,1,1
329,16,2425.21445684996,11,9,0,1,0
330,26,4098.678109860186,8,2,1,0,1
331,16,2217.129696826427,25,4,0,0,1
332,25,4002.3145408365735,14,8,1,0,0
333,20,3017.532527938531,2,6,0,0,1
334,28,4444.317663361752,10,2,1,0,0
335,17,2113.6185065155387,21,3,1,1,1
336,2,3061.0916571252465,24,1,0,1,0
337,1,3187.0915350322543,16,7,1,1,0
338,16,2145.176414822319,16,5,0,1,0
339,12,807.1290140686594,19,2,0,0,0
340,5,558.4410938704442,27,4,0,0,0
341,5,181.6905979382022,11,4,1,0,1
342,27,4380.317894801552,6,0,1,0,0
343,23,1258.7270699696032,6,4,1,1,0
344,9,1136.3830714806634,7,5,0,1,1
345,9,3706.573462087721,16,9,0,1,1
346,3,1668.0789541282195,13,9,1,0,0
347,19,2579.6189928179992,27,1,0,1,1
348,16,896.3042199575358,3,2,0,1,0
349,16,4802.754035163649,24,9,0,0,0
350,3,4272.748860084463,24,4,1,0,0
351,20,4332.5691525285165,9,2,1,1,1
352,24,2093.1913680028256,24,4,1,0,0
353,22,3835.569947165147,3,4,0,1,0
354,24,804.9931614099228,6,7,0,1,0
355,1,142.23311269972336,25,9,1,1,0
356,24,197.8673696323378,17,8,1,1,0
357,20,2974.348513282346,3,7,1,1,0
358,11,2331.43503571491,2,2,0,0,0
359,17,2638.2752096517465,12,0,1,0,1
360,8,136.56938804437507,24,2,1,0,0
361,4,2171.164436321386,6,0,1,1,0
362,6,3618.533989884218,10,8,0,1,0
363,8,2269.1991396404355,11,2,1,0,1
364,20,3687.874110929889,16,7,0,0,1
365,3,1241.7929255444903,27,5,1,0,0
366,16,4084.3958219604547,16,2,0,1,0
367,25,2983.3130782219164,24,8,1,0,1
368,3,1132.7391872065405,18,7,1,0,0
369,25,1259.9303316837813,27,2,0,1,0
370,29,3177.3492763907316,22,6,1,0,0
371,18,4166.7040067409725,23,4,1,0,0
372,14,2136.5761319428602,24,1,1,1,1
373,18,1365.6721027252017,9,7,1,1,0
374,2,4348.356873861942,21,0,0,0,1
375,22,3379.414629579091,27,3,0,1,0
376,3,2295.618887687075,19,3,0,0,1
377,16,2490.710956868579,2,9,0,0,0
378,29,1100.8566928883424,24,4,0,0,0
379,9,3171.332887317735,1,3,0,0,1
380,4,1857.8383016601542,26,0,0,1,0
381,1,4978.661365704312,16,6,0,1,1
382,4,2452.8992247832502,22,9,1,1,1
383,1,2480.8394703291046,18,1,1,0,0
384,14,2872.673758312292,3,9,0,0,0
385,21,4592.104415281859,24,2,0,0,1
386,16,4024.0086893127764,1,4,0,1,1
387,20,2310.537342009423,6,7,1,0,1
388,24,3621.6264032667004,19,9,0,0,0
389,8,2972.553944025732,22,7,0,0,0
390,7,2512.59853863612,19,1,0,1,0
391,3,1042.3472866433176,11,8,0,0,1
392,17,2373.2876909289653,27,5,1,0,0
393,1,1304.5110764106157,8,8,0,1,1
394,16,4582.726534273108,5,3,1,1,1
395,12,1743.4933861320999,20,2,1,0,1
396,27,4766.093671213524,9,4,1,0,0
397,19,2711.9709214640848,15,4,0,1,0
398,22,3194.5674555131855,21,3,1,1,1
399,23,2760.408177997706,28,6,0,1,1
400,22,733.9650231368344,14,7,0,0,1
401,14,1941.5239731389108,4,4,0,1,1
402,6,585.8159501603573,24,8,0,0,0
403,6,3152.4748164985704,24,6,0,1,0
404,13,2289.683556482151,8,6,0,0,1
405,19,3912.1263606975904,20,7,0,0,0
406,22,1180.3053568969121,29,3,0,1,0
407,8,906.3736863037411,17,9,1,1,0
408,27,2091.027931722462,2,5,0,0,0
409,27,4640.268377770068,20,4,1,1,1
410,2,3581.066893560818,16,0,0,0,0
411,21,2152.7257614853015,10,8,1,0,1
412,1,2634.633631796122,2,1,1,1,0
413,28,512.6437547677818,11,5,0,0,1
414,15,4924.4218922429545,10,7,1,1,1
415,1,3365.395793005103,19,2,0,0,0
416,5,1498.4799354707702,25,4,1,0,0
417,28,2970.461131654697,25,6,0,1,0
418,29,636.4635937380705,14,3,1,0,0
419,16,4832.599677157159,11,4,1,0,1
420,19,956.4464406284931,9,0,0,0,1
421,4,3275.3485584705495,7,3,1,1,0
422,3,1302.726866440759,15,6,0,1,1
423,17,3616.0507749778253,20,9,0,0,1
424,17,3906.424699477377,17,6,1,0,0
425,12,3399.75667166602,3,9,1,0,0
426,28,3111.0473552504436,15,9,1,1,1
427,29,4473.098560364857,14,3,0,0,0
428,14,485.2708838498144,8,5,0,0,0
429,21,1721.4823523229563,4,4,0,1,1
430,6,1316.6086501911452,26,0,0,1,1
431,3,4941.2684141205655,10,7,1,0,0
432,28,2008.00992036768,2,6,0,1,1
433,9,3689.8022262779537,14,4,0,0,1
434,5,3455.1533030169226,8,9,1,1,0
435,24,1139.1980636391509,23,9,1,1,1
436,29,1271.0886330366015,27,6,1,1,0
437,17,1478.2943614098672,10,9,0,1,0
438,14,2114.523663470958,25,2,1,0,1
439,21,1248.1928216875813,18,7,1,0,1
440,3,196.29226545955424,15,4,0,1,0
441,28,4409.025978355258,5,1,0,0,1
442,1,4831.488173766332,22,1,0,0,1
443,20,1773.694896454683,13,3,0,0,0
444,29,1758.683709184817,18,6,1,1,1
445,21,134.74988259441784,2,9,0,1,1
446,23,3433.2283728188327,13,3,1,0,1
447,1,4144.655489168281,14,8,1,0,0
448,3,818.3806717640155,10,1,0,0,1
449,18,882.3651118990387,4,5,0,0,0
450,25,3971.407924860045,15,3,0,1,1
451,10,3119.824666935309,8,5,0,0,1
452,22,319.81673237581333,15,9,1,0,0
453,26,3150.48025326518,14,8,0,0,1
454,3,1613.6968419344537,29,9,0,0,1
455,8,1906.7532618071452,27,8,1,0,1
456,14,3871.6839496547127,21,8,1,1,0
457,24,4073.5824440957917,9,8,1,1,0
458,18,2061.74747151517,20,2,0,1,0
459,15,4741.049386431138,3,8,1,1,1
460,22,2091.667317965154,26,2,1,1,0
461,23,3881.9965726275386,15,9,1,0,1
462,2,2470.998596364869,24,2,0,1,1
463,27,4497.908399958212,17,4,1,1,0
464,10,4548.030093885875,25,5,0,1,0
465,2,528.3423585683108,16,8,1,0,1
466,26,4688.817323420106,4,0,1,0,0
467,17,4145.120723450036,11,7,1,0,0
468,8,3977.422500132068,25,3,1,0,1
469,1,1084.4655644590598,8,9,1,1,1
470,9,4045.084122897858,3,6,1,1,1
471,11,4265.65039995668,19,5,0,1,0
472,22,1516.8366388253396,14,5,0,0,1
473,16,4766.074383975386,9,6,0,1,0
474,7,344.3147173559048,3,3,1,1,1
475,29,834.5553409109843,4,5,0,0,0
476,10,2734.1475764524203,25,2,1,0,0
477,23,2921.3831084993176,28,4,0,1,1
478,26,3261.2354081744265,4,1,1,1,0
479,3,183.14873364578563,11,2,0,1,0
480,18,4805.797195648438,19,8,1,1,0
481,25,318.48165439730553,16,5,1,1,1
482,24,801.0035683446716,23,2,0,1,0
483,13,168.6711358776792,22,1,1,0,1
484,28,2877.606323141064,17,4,0,0,1
485,26,4668.107731212764,10,9,0,1,0
486,7,3363.1411137942746,24,4,0,0,0
487,25,4131.021595554093,17,0,0,1,1
488,4,165.0778969470424,16,2,1,1,1
489,13,2755.8749625506575,20,6,0,0,0
490,20,2351.858589777057,22,8,1,0,1
491,1,2544.942926681886,6,4,1,1,1
492,8,453.84460814242095,7,3,1,0,1
493,14,3453.7332692396067,14,2,0,1,0
494,16,2565.780032807309,11,9,1,0,0
495,14,3849.2293643201933,12,8,1,1,1
496,12,2477.924106902405,14,6,0,0,0
497,19,831.9700175095172,5,6,1,1,0
498,23,3276.459074981328,5,7,1,0,1
499,15,944.6931743153145,20,9,1,0,1
500,28,4374.733360438593,22,0,1,0,0
501,2,3104.2695714392835,23,3,1,1,0
502,2,870.2990294290759,26,4,0,0,0
503,23,4815.456481657913,15,4,0,0,0
504,22,2639.9907703430713,26,0,0,1,0
505,19,457.2024141711095,1,2,0,1,0
506,25,3171.4812316338293,25,1,0,0,0
507,26,1340.67464436277,24,6,1,0,1
508,29,4038.097914198782,23,4,0,0,0
509,22,4107.328160474334,9,2,1,0,0
510,26,4896.842043687843,3,7,1,1,0
511,26,2559.160702020068,26,0,0,0,0
512,22,2329.288710665912,4,0,0,1,1
513,17,3792.030466687755,16,5,1,1,1
514,20,749.1062160754401,7,0,1,0,1
515,10,2779.8860175863088,22,3,0,1,0
516,6,2776.61324064117,14,5,0,0,0
517,15,538.4183017708974,16,0,1,1,1
518,22,2148.1220189838764,29,8,1,1,1
519,11,4281.095512979289,18,3,0,1,0
520,28,4295.1527477738355,16,8,0,0,0
521,5,586.2645581064369,16,8,0,1,0
522,1,544.5323254643712,2,5,1,1,1
523,8,1387.207837309483,10,6,1,1,0
524,21,4386.353706514568,7,0,1,1,1
525,28,731.6226668601448,25,4,1,1,1
526,12,3627.9843328744864,27,2,0,1,1
527,12,595.7115361042058,15,9,0,0,0
528,5,3153.3754833643443,28,9,1,1,0
529,7,1844.7297656838095,9,5,1,1,1
530,4,3965.6784185327483,7,3,0,0,1
531,6,1245.0831992442816,27,8,1,1,1
532,13,3232.088964010803,24,6,0,1,0
533,20,1254.8444194218362,16,3,0,0,0
534,15,3596.9353872495535,26,5,1,0,0
535,3,4381.022369347669,3,1,1,1,1
536,23,721.3288157211242,17,2,0,1,0
537,8,4346.318874117967,23,6,0,1,0
538,20,3008.51874663006,8,3,1,1,0
539,16,722.8414052484175,2,9,1,0,0
540,13,2194.9550912625887,25,6,1,1,1
541,18,888.2154380769797,20,8,0,0,0
542,28,3531.704655446191,26,4,1,1,0
543,10,3818.4538586479534,27,0,0,0,1
544,19,618.4029493367149,25,4,0,1,1
545,17,2580.0852782037573,29,5,1,0,0
546,24,4091.6627745269943,3,1,0,0,0
547,19,4687.198903599883,8,7,1,0,1
548,28,2616.2375470346733,27,1,1,0,1
549,26,4756.368195695894,2,8,1,0,0
550,23,2724.875955234546,19,1,1,1,0
551,26,2031.533423539549,17,2,1,1,0
552,5,4256.195329909187,5,7,0,1,1
553,26,2515.615281244636,20,5,1,0,1
554,21,2412.322301766163,29,0,0,0,0
555,23,2502.5311981081586,17,3,1,1,0
556,9,4249.246509161752,10,4,1,0,1
557,12,4176.513554271455,9,2,1,0,1
558,21,2077.247962957035,22,0,1,0,1
559,1,1733.1693133655726,6,2,0,0,1
560,26,2510.4473177917334,11,8,1,1,0
561,26,2906.5852977118343,2,1,1,1,0
562,1,1267.852332077185,23,0,1,1,1
563,15,3990.379915106394,12,6,0,0,1
564,2,2483.765552088872,12,6,1,1,1
565,22,1736.823187257802,16,4,0,0,1
566,16,623.422865523554,25,1,1,1,0
567,25,1270.341285977674,22,0,1,1,1
568,8,4751.47774160432,27,4,1,0,0
569,13,1594.9884654156804,24,9,1,1,0
570,21,927.410517898473,12,3,1,0,0
571,1,2357.296679109467,21,8,1,1,0
572,16,1604.7299424652185,18,4,1,1,0
573,29,272.28032632885134,13,9,0,1,1
574,7,1683.4115646691446,15,1,1,1,0
575,5,2766.132257303396,16,3,1,1,1
576,22,2803.390622897838,4,8,0,1,1
577,29,1847.1387137667546,12,7,1,0,0
578,23,2291.783505637743,17,2,1,1,1
579,3,4831.037799350355,1,7,0,1,1
580,12,1949.007538428527,22,1,1,0,1
581,26,1365.3113849739166,18,2,1,0,0
582,16,1292.9885159271246,22,4,0,1,0
583,19,2343.0466022502574,16,9,0,1,0
584,5,3821.648728713026,1,9,1,0,1
585,22,1109.3421025235186,27,7,0,1,1
586,25,3575.5510229897636,10,0,0,1,1
587,29,203.63413441213982,19,3,0,1,1
588,14,2152.7715921213353,16,0,1,0,0
589,28,3901.7388194936557,14,0,1,1,0
590,5,1759.791483294714,25,4,0,0,0
591,15,2862.3117970824574,2,5,0,1,1
592,17,1104.3982408469628,24,0,0,0,1
593,14,3735.777416518244,6,5,0,0,1
594,20,356.16760601692215,28,4,1,1,1
595,5,4277.458959889952,22,3,1,0,0
596,12,1071.1622934661739,23,9,1,0,1
597,16,4384.55035537082,5,4,1,1,0
598,26,1827.393282372535,12,7,0,0,0
599,26,3641.1495149249845,27,8,1,0,1
600,16,1664.2039591523235,4,1,0,0,0
601,21,4538.967189049773,22,5,0,0,0
602,7,720.5219150400344,24,2,0,1,1
603,4,974.7469674357336,4,1,0,1,0
604,1,2515.847613278131,5,0,1,1,1
605,5,501.49835128691603,7,3,0,0,1
606,23,1060.3029050386335,6,7,0,1,0
607,26,4724.455272838871,13,2,0,0,1
608,10,4884.7993396246475,4,4,0,1,0
609,22,1943.6707137190676,13,9,1,0,0
610,5,4624.101502968285,4,4,0,1,0
611,4,2769.6409107998156,10,4,1,0,0
612,2,1421.7380827814586,20,8,0,0,0
613,20,3541.753733294933,1,7,1,0,0
614,10,3328.6188522168004,21,7,0,0,1
615,26,4946.714063632793,8,0,0,1,0
616,19,1398.7317083054882,7,0,1,0,0
617,26,3393.0915630425034,5,1,1,0,1
618,1,354.91639964428975,3,7,1,0,1
619,24,656.8655896139251,15,9,0,1,0
620,5,119.20003726035698,27,0,1,1,1
621,13,4997.3573371923985,17,3,1,1,0
